,id,name,age,lead_id,lead_type,bought_policy,policy_amount,Policy?
0,0,AN4UFZ08R,40,1197608,B,0,0,no
1,1,M0XPQP,41,1116417,C,1,403,yes
2,2,LUH4V4F9,45,1125118,A,1,367,yes
3,3,KVC2IK,47,449886,A,0,0,no
4,4,3CIXG65M6W,53,668018,B,0,0,no
5,5,OP6YA1,56,1096688,B,1,354,yes
6,6,IPRK5TP,71,198591,B,0,0,no
7,7,PB2AINUC,30,1099025,A,1,425,yes
9,9,L1L13ECKM,70,809537,C,0,0,no
10,10,6KMXVNQO,34,247881,B,0,0,no
11,11,MQ6LH,41,1058658,C,1,497,yes
12,12,SD7QIKCV0,66,957527,C,1,203,yes
13,13,0A9K9TQ,64,706297,B,1,114,yes
14,14,ZKAAK5G,73,1187258,A,0,0,no
15,15,CFQ39JJ,48,924663,C,0,0,no
16,16,43JUA6CF,61,463280,B,1,553,yes
17,17,HTE0KJL06S,55,592658,C,0,0,no
18,18,FE0LV4C,41,799233,A,1,476,yes
19,19,CT2XIHE8J,51,676410,B,1,420,yes
20,20,NG6V9,53,1112223,B,0,0,no
21,21,6YW2GYGNL,72,243450,A,0,0,no
22,22,U3ZTF,56,509309,A,0,0,no
23,23,4V05K5,36,610526,A,1,125,yes
25,25,RABMB3DHG,43,938214,A,1,524,yes
26,26,N1YH0UW,36,1199752,A,1,192,yes
27,27,GY2DF9GYKL,37,477304,B,0,0,no
28,28,HIH0JF0HU,41,458210,C,1,434,yes
29,29,Y2K28A50JDQ,71,331556,C,0,0,no
30,30,7KAD7D33TG,57,706509,A,1,254,yes
31,31,B52QTEUF4TY,39,780845,A,1,537,yes
32,32,2LI9QZBWO,59,1056477,C,0,0,no
33,33,PSUINMIWVX,50,518340,C,1,275,yes
34,34,HCI7RQFN,67,999273,C,1,560,yes
35,35,M5HYM8V3R0,74,630008,B,0,0,no
36,36,3LLUTAKH,53,614958,C,0,0,no
37,37,4N99IVGJ,65,1215591,A,0,0,no
38,38,DYX1XTPJGL,46,841118,A,0,0,no
39,39,47IRG,35,393160,A,0,0,no
40,40,KMIUK8I8,56,250119,B,1,556,yes
41,41,JHYI0,41,668238,A,1,404,yes
42,42,ECTJO6,65,1102673,A,0,0,no
43,43,PSLIR0,52,691936,C,1,567,yes
44,44,EMROFRI5ST,66,817871,A,0,0,no
45,45,R6NKAG1R1C,70,471640,B,0,0,no
46,46,ZHDVMAYW,59,1032640,B,0,0,no
47,47,EAW1B,55,1043451,A,0,0,no
48,48,JZUXCPCI,73,525402,B,1,263,yes
49,49,L1HEO8,62,772189,C,1,292,yes
50,50,SU9J2W,66,382425,A,0,0,no
51,51,56VV5,43,462147,B,1,300,yes
52,52,TS6V3O,54,373135,A,0,0,no
53,53,3Q8MB5K6JM,69,1227810,B,1,197,yes
54,54,4XPYZC5GRMY,38,1030358,C,0,0,no
55,55,QPAHH2AB,50,1079100,C,1,540,yes
57,57,8XSXH108TD,52,467293,C,0,0,no
58,58,9IRTBTQ,46,376712,A,0,0,no
59,59,RLEBI78MX,28,1218130,C,0,0,no
60,60,FV1PT,31,240430,B,0,0,no
61,61,QVSYR3XW,49,754200,B,1,223,yes
62,62,5PF44YEGD5,27,847707,A,1,287,yes
63,63,HACNQU,67,1137784,A,1,140,yes
64,64,99T5PB0LY63,40,1152264,B,0,0,no
65,65,ZRWD8GM12X,58,1053662,A,1,190,yes
67,67,UTWH3108,62,1123961,B,0,0,no
68,68,TMTRX,42,529677,B,1,480,yes
69,69,VM9Z7JR2G,37,1205315,C,1,446,yes
70,70,81V1OEQY2T,38,1152085,C,0,0,no
71,71,TDWVZISB,70,193055,B,0,0,no
72,72,WKQ90D,32,261780,A,1,441,yes
